cluster_name	z_score	gene
6	EEF1B2	9.896851539611816
6	CD69	9.817056655883789
6	HIST1H2AC	9.341891288757324
6	IER2	9.260680198669434
6	SNHG8	9.243084907531738
6	EEF1A1	8.856919288635254
6	HIST1H2AE	8.688426971435547
6	HIST1H2BD	8.40345573425293
6	EEF1G	7.54066801071167
6	H1F0	7.3978142738342285
6	GAS5	6.885911464691162
6	SNHG32	6.600064754486084
6	ATF3	6.173514366149902
6	HINT1	6.087858200073242
6	CLEC2B	6.086328506469727
6	HIST1H1E	6.046560764312744
6	HIST1H2BF	5.9613118171691895
6	EREG	5.950666427612305
6	RACK1	5.944253921508789
6	TEX14	5.808991432189941
6	ID2	5.6989426612854
6	LGALS1	5.687750339508057
6	UBC	5.407314777374268
6	DUSP1	5.349811553955078
6	SNHG6	5.338089942932129
6	RHOB	5.233061790466309
6	SAT1	5.213033199310303
6	CYCS	5.158845901489258
6	ZFAS1	5.131808757781982
6	MIR222HG	5.12542200088501
6	HIST2H2BE	4.952239036560059
6	NFKBIA	4.862028121948242
6	RAMP1	4.7212090492248535
6	LINC00623	4.689164161682129
6	PMAIP1	4.680063724517822
6	HIST1H4E	4.6126484870910645
6	HIST3H2A	4.588261604309082
6	HIST1H3D	4.4047651290893555
6	AARS	4.3554277420043945
6	USP45	4.336277484893799
6	JUNB	4.263463497161865
7	ZNF385D	61.96278762817383
7	MED12L	46.0592041015625
7	PLXDC2	40.3530158996582
7	ZBTB20	32.64731216430664
7	RNF130	31.708703994750977
7	STXBP5	31.495615005493164
7	KIAA1211	31.212440490722656
7	ZNF804A	29.517751693725586
7	ELMO1	28.97887420654297
7	CDK6	28.735137939453125
7	TAFA2	27.369625091552734
7	CASC15	26.560701370239258
7	ZBTB16	25.27085304260254
7	RUNX1	24.554786682128906
7	GNAQ	24.22613525390625
7	PRKACB	23.679183959960938
7	SESN3	23.546064376831055
7	ARHGAP15	22.985950469970703
7	MSI2	22.921566009521484
7	ARL15	22.767454147338867
7	RAPGEF2	22.3041934967041
7	ATP2C1	21.73035430908203
7	ETV6	21.699602127075195
7	NLK	21.438119888305664
7	VAV3	19.973421096801758
7	MIR181A1HG	19.79422950744629
7	CTNNBL1	19.66876983642578
7	PBX1	19.485118865966797
7	ANGPT1	18.687238693237305
7	BMP2K	18.55071258544922
7	XACT	18.2109432220459
7	FREM1	18.082059860229492
7	PDZD8	18.040876388549805
7	ERG	18.013002395629883
7	LRBA	17.883806228637695
7	ANKRD28	17.824682235717773
7	ZEB2	17.649337768554688
7	CHST11	17.58871841430664
7	RAP1B	16.832050323486328
7	ST8SIA6	16.770483016967773
7	FRY	16.525245666503906
7	ABCC4	16.521547317504883
7	CELF2	16.435623168945312
7	NUTM2A-AS1	16.256938934326172
7	SLC39A8	16.042743682861328
7	SLC12A6	15.893664360046387
7	MINPP1	15.467918395996094
7	ZNF521	15.434934616088867
7	FTX	15.327608108520508
7	ARID1B	15.202054023742676
7	DENND4A	14.995821952819824
8	SKAP1	35.72075653076172
8	CD247	30.40653419494629
8	SYNE2	28.60256576538086
8	PRKCH	28.553035736083984
8	LINC01619	28.41746711730957
8	FYN	27.107393264770508
8	BCL11B	27.059688568115234
8	KLF12	26.985559463500977
8	PTPRC	26.760971069335938
8	SMCHD1	26.394393920898438
8	FYB1	26.3593807220459
8	PDE3B	26.090221405029297
8	RORA	24.57132911682129
8	BTG1	24.406005859375
8	CAMK4	24.38629150390625
8	TC2N	24.33848762512207
8	ANKRD44	23.664766311645508
8	ETS1	23.350112915039062
8	ATM	23.170650482177734
8	ITK	23.048892974853516
8	DOCK10	22.698835372924805
8	PARP8	22.667287826538086
8	STAT4	22.473541259765625
8	CDC42SE2	22.269861221313477
8	PPP2R5C	22.23065948486328
8	ARHGAP15	21.973928451538086
8	PITPNC1	21.9536075592041
8	CD96	21.475278854370117
8	PRKCA	21.056156158447266
8	AAK1	20.771860122680664
8	IL7R	20.7445068359375
8	LEF1	20.683637619018555
8	CNOT6L	20.55056381225586
8	RASA3	20.512880325317383
8	CCSER2	20.506807327270508
8	RASA2	20.47364616394043
8	THEMIS	20.02804946899414
8	CLEC2D	19.800519943237305
8	UTRN	19.645219802856445
8	MAML2	19.620100021362305
8	TXNIP	19.38703727722168
8	SUCLG2	18.812702178955078
8	MBNL1	18.64093780517578
8	ANK3	18.627330780029297
8	ANKRD12	18.556964874267578
8	EPB41	18.513904571533203
8	CBLB	18.345703125
8	CCND3	18.314481735229492
8	FAM107B	18.070119857788086
8	TNFAIP8	17.806621551513672
8	PCNX1	17.799463272094727
9	XACT	51.70785140991211
9	RYR3	43.38308334350586
9	PDZD8	40.97880935668945
9	ZNF385D	35.99904251098633
9	SLC40A1	33.79821014404297
9	AC069410.1	32.66350555419922
9	ACSM3	32.623443603515625
9	KIAA1211	30.900466918945312
9	CDC42BPA	29.183822631835938
9	NFIA	28.54500961303711
9	PRKAR2B	26.33563804626465
9	HSP90AB1	25.82464599609375
9	EIF3A	25.60009002685547
9	ANK1	25.482540130615234
9	RFX7	25.20008087158203
9	GNAQ	25.09653663635254
9	ZEB2	24.813417434692383
9	PIP4K2A	23.658105850219727
9	RIF1	23.254138946533203
9	KCNQ5	23.169185638427734
9	HMGB1	23.11942481994629
9	RNF130	22.640640258789062
9	PTMA	22.626901626586914
9	ITGA2B	22.171689987182617
9	TFRC	21.78658103942871
9	PVT1	21.05072021484375
9	NCL	20.9613094329834
9	CTNNBL1	20.8753662109375
9	PTH2R	20.670480728149414
9	PIP5K1B	20.597375869750977
9	CYTOR	20.262447357177734
9	S100A6	20.221946716308594
9	GIHCG	20.091611862182617
9	WRN	19.993999481201172
9	RREB1	19.804201126098633
9	SLC39A8	19.647260665893555
9	MYB	19.483482360839844
9	DNAJC6	19.462390899658203
9	ASAP1	19.324899673461914
9	CSF2RB	19.244985580444336
9	PDCD4	19.241044998168945
9	HNRNPA1	19.225908279418945
9	HBS1L	19.085514068603516
9	FHIT	19.031278610229492
9	HNRNPAB	18.747629165649414
9	NPM1	18.714208602905273
9	EEF1B2	18.63993263244629
9	BLVRB	18.504884719848633
9	SERBP1	18.478614807128906
9	ABCC4	18.305139541625977
9	CASP3	18.26374626159668
10	NEAT1	39.96276092529297
10	DPYD	39.46579360961914
10	ARHGAP26	34.262794494628906
10	PICALM	29.52702522277832
10	SLC8A1	29.06695556640625
10	ZSWIM6	27.93840789794922
10	VCAN	26.40861701965332
10	ZEB2	26.391395568847656
10	AOAH	25.170289993286133
10	NAMPT	24.320026397705078
10	PTPRC	23.348716735839844
10	SAT1	23.17086410522461
10	SIPA1L1	22.961938858032227
10	AGTPBP1	22.761981964111328
10	LYN	22.57431983947754
10	SLCO3A1	21.87928581237793
10	CTSS	21.560821533203125
10	USP3	21.559171676635742
10	PTPRE	21.400178909301758
10	DMXL2	21.329689025878906
10	DENND1A	21.128265380859375
10	UBE2E2	21.087472915649414
10	MYO1F	21.058401107788086
10	SBF2	20.81922149658203
10	PRKCB	20.659927368164062
10	DOCK8	20.534801483154297
10	KYNU	20.526987075805664
10	QKI	20.499584197998047
10	LYST	20.487003326416016
10	FCN1	20.39547348022461
10	SAMHD1	20.367450714111328
10	FAM49B	20.289257049560547
10	MAP3K1	19.935562133789062
10	PID1	19.67757225036621
10	MEF2A	19.608028411865234
10	VMP1	19.494882583618164
10	HIF1A	19.485322952270508
10	FAM49A	19.38512420654297
10	STK17B	19.215307235717773
10	RBM47	19.202913284301758
10	FBXW7	19.183019638061523
10	RNF149	19.07166290283203
10	CLEC7A	18.980304718017578
10	LYZ	18.96384620666504
10	PRKAG2	18.90785789489746
10	ZFAND3	18.805423736572266
10	DOCK2	18.457622528076172
10	GAB2	18.264938354492188
10	GPCPD1	18.234237670898438
10	LRRK2	18.126379013061523
10	PTPRJ	17.893373489379883
11	AL589693.1	27.19107437133789
11	ANKRD44	26.887226104736328
11	DOCK10	21.179487228393555
11	SKAP1	20.737098693847656
11	MAML2	19.015478134155273
11	CD247	18.472370147705078
11	LINC01619	18.262107849121094
11	BCL11B	18.12154769897461
